-- From saballistics 
-- GNU GPLv2
-- https://github.com/topgenorth/saballistics
 
 D (in)    Description                  Weight (grs)   B.C. 
 0.264     Barnes "X" S                    120        0.441
 0.264     Barnes Solid                    120        0.453
 0.264     HT                              120        0.502
 0.264     Nosler Ballistic Tip            120        0.458
 0.264     Sierra HPBT MatchKing           120        0.409
 0.264     Sierra Spitzer                  120        0.368
 0.264     Jensen J26                      125        0.539
 0.264     Nosler Spitzer Partition        125        0.449
 0.264     Hornady SP                      129        0.445
 0.264     Barnes "X" S                    130        0.479
 0.264     Barnes Solid                    130        0.461
 0.264     Norma Diamond Line VLD          130        0.548
 0.264     Norma VLD HP                    130        0.590
 0.264     Lapua Scenar HP                 139        0.660
 0.264     Norma Hollow Point              139        0.510
 0.264     Norma Pointed FMJ               139        0.580
 0.264     Norma Semi-pointed SP           139        0.410
 0.264     Norma Vulkan                    139        0.320
 0.264     Barnes "X" S                    140        0.522
 0.264     Hornady A-MAX                   140        0.618
 0.264     Hornady SP                      140        0.465
 0.264     Jensen J26                      140        0.595
 0.264     Nosler Spitzer Partition        140        0.490
 0.264     Sierra HPBT MatchKing           140        0.526
 0.264     Sierra Spitzer Boat Tail        140        0.490
 0.264     Sierra HPBT MatchKing LD        142        0.560
 0.264     Odin D-Spiss FMJ                143        0.636
 0.264     Lapua Mega SP                   155        0.377
 0.264     Sierra HPBT MatchKing           155        0.560
 0.264     Norma Alaska                    156        0.320
 0.264     Norma Vulkan                    156        0.350
 0.264     Hornady RN                      160        0.283
 0.264     Sierra Semi-Pointed             160        0.366
 0.277     Sierra Hollow Point              90        0.195
 0.277     Speer "TNT" HP                   90        0.275
 0.277     Barnes "X" S                    100        0.359
 0.277     Barnes Solid                    100        0.370
 0.277     Hornady SP                      100        0.307
 0.277     Speer Hollow Point              100        0.225
 0.277     Speer Spitzer SP                100        0.319
 0.277     Hornady HP                      110        0.352
 0.277     Hornady V-MAX                   110        0.370
 0.277     Sierra Spitzer                  110        0.318
 0.277     Barnes "X" BT                   120        0.423
 0.277     Barnes "X" S                    120        0.406
 0.277     Barnes Solid                    120        0.418
 0.277     HT                              120        0.453
 0.277     HT                              126        0.475
 0.277     Barnes "X" BT                   130        0.466
 0.277     Barnes "X" S                    130        0.428
 0.277     Barnes Solid                    130        0.448
 0.277     Barnes X                        130        0.428
 0.277     Bitterroot                      130        0.385
 0.277     HT                              130        0.492
 0.277     Hornady SP                      130        0.409
 0.277     Lapua Mira SP                   130        0.382
 0.277     Norma Semi-pointed SP           130        0.350
 0.277     Nosler Ballistic Tip            130        0.433
 0.277     Nosler Spitzer Partition        130        0.416
 0.277     Sierra Spitzer                  130        0.370
 0.277     Sierra Spitzer Boat Tail        130        0.418
 0.277     Speer Grand Slam SP             130        0.345
 0.277     Speer Spitzer SP                130        0.408
 0.277     Speer Spitzer SP BT             130        0.449
 0.277     Sierra HPBT MatchKing           135        0.482
 0.277     Barnes "X" BT                   140        0.497
 0.277     Barnes "X" S                    140        0.462
 0.277     HT                              140        0.530
 0.277     Hornady BTSP                    140        0.486
 0.277     Jensen J26                      140        0.487
 0.277     Nosler Ballistic Tip            140        0.456
 0.277     Sierra HPBT                     140        0.337
 0.277     Sierra Spitzer Boat Tail        140        0.450
 0.277     Barnes "X" S                    150        0.491
 0.277     Barnes Solid                    150        0.307
 0.277     Bitterroot                      150        0.450
 0.277     Hornady RN                      150        0.269
 0.277     Hornady SP                      150        0.462
 0.277     Jensen J26                      150        0.563
 0.277     Norma Semi-pointed SP           150        0.370
 0.277     Nosler Ballistic Tip            150        0.496
 0.277     Nosler Spitzer Partition        150        0.465
 0.277     Sierra Round Nose               150        0.223
 0.277     Sierra Spitzer Boat Tail        150        0.476
 0.277     Speer Grand Slam SP             150        0.385
 0.277     Speer Spitzer SP                150        0.481
 0.277     Speer Spitzer SP BT             150        0.496
 0.277     Lapua Mega SP                   160        0.319
 0.277     Nosler Spitzer Partition        160        0.434
 0.277     Barnes Original RNSP            180        0.372
 0.284     Barnes "X" S                    100        0.335
 0.284     Barnes Solid                    100        0.343
 0.284     Hornady HP                      100        0.279
 0.284     Sierra Hollow Point             100        0.215
 0.284     Speer "TNT" HP                  110        0.338
 0.284     Speer Hollow Point              115        0.257
 0.284     Barnes "X" BT                   120        0.411
 0.284     Barnes "X" S                    120        0.371
 0.284     Barnes Solid                    120        0.399
 0.284     HT                              120        0.434
 0.284     Hornady HP                      120        0.334
 0.284     Hornady SP                      120        0.350
 0.284     Hornady SS/PB                   120        0.350
 0.284     Nosler Ballistic Tip            120        0.417
 0.284     Nosler FP Ballistic Tip         120        0.195
 0.284     Sierra Spitzer                  120        0.328
 0.284     Speer Spitzer SP                120        0.386
 0.284     Barnes "X" BT                   130        0.444
 0.284     HT                              130        0.470
 0.284     Speer Spitzer SP BT             130        0.394
 0.284     Hornady BTSP                    139        0.453
 0.284     Hornady FP                      139        0.192
 0.284     Hornady SP                      139        0.392
 0.284     Barnes "X" BT                   140        0.477
 0.284     Barnes "X" S                    140        0.436
 0.284     Barnes Solid                    140        0.448
 0.284     Bitterroot                      140        0.385
 0.284     HT                              140        0.506
 0.284     Jensen J26                      140        0.538
 0.284     Nosler Ballistic Tip            140        0.485
 0.284     Nosler Spitzer Partition        140        0.434
 0.284     Sierra Spitzer                  140        0.377
 0.284     Sierra Spitzer Boat Tail        140        0.416
 0.284     Speer Grand Slam SP             145        0.327
 0.284     Speer Match HP BT               145        0.465
 0.284     Speer Spitzer SP                145        0.502
 0.284     Speer Spitzer SP                145        0.457
 0.284     Barnes "X" BT                   150        0.529
 0.284     Barnes "X" S                    150        0.488
 0.284     Norma Semi-pointed FMJ          150        0.500
 0.284     Nosler Ballistic Tip            150        0.493
 0.284     Nosler Spitzer Partition        150        0.456
 0.284     Sierra HPBT MatchKing           150        0.429
 0.284     Sierra Spitzer Boat Tail        150        0.430
 0.284     Hornady InterBond               154        0.525
 0.284     Hornady RN                      154        0.279
 0.284     Hornady SP                      154        0.433
 0.284     Jensen J26                      154        0.590
 0.284     Norma Soft Point                154        0.420
 0.284     Barnes "X" S                    160        0.508
 0.284     Barnes Solid                    160        0.522
 0.284     Bitterroot                      160        0.460
 0.284     Nosler Spitzer Partition        160        0.475
 0.284     Sierra HP Boat Tail             160        0.394
 0.284     Sierra HPBT MatchKing           160        0.494
 0.284     Sierra Spitzer Boat Tail        160        0.470
 0.284     Speer Grand Slam SP             160        0.387
 0.284     Speer Mag-Tip SP                160        0.354
 0.284     Speer Spitzer SP                160        0.502
 0.284     Speer Spitzer SP BT             160        0.556
 0.284     Hornady A/MAX                   162        0.625
 0.284     Hornady BTSP                    162        0.514
 0.284     Sierra HPBT MatchKing           168        0.494
 0.284     Norma Vulkan                    170        0.350
 0.284     Sierra Round Nose               170        0.317
 0.284     Barnes "X" S                    175        0.530
 0.284     Barnes Solid                    175        0.321
 0.284     Bitterroot                      175        0.495
 0.284     Hornady RN                      175        0.285
 0.284     Hornady SP                      175        0.462
 0.284     Jensen J26                      175        0.673
 0.284     Nosler Spitzer Partition        175        0.519
 0.284     Sierra Spitzer BT               175        0.533
 0.284     Speer Grand Slam SP             175        0.465
 0.284     Speer Mag-Tip SP                175        0.385
 0.284     Berger VLD                      180        0.698
 0.284     Barnes Original SSP             195        0.345
 0.285     Lapua Lock Base FMJ             170        0.470
 0.285     Lapua Mega SP                   170        0.319
 0.308     Hornady SJ                      100        0.152
 0.308     Lapua HP                        100        0.170
 0.308     Speer Plinker RN SP             100        0.124
 0.308     Lapua HP                        105        0.171
 0.308     Barnes "X" S                    110        0.322
 0.308     Barnes Solid                    110        0.337
 0.308     Berger MEF                      110        0.267
 0.308     Hornady FMJ                     110        0.178
 0.308     Hornady RN                      110        0.150
 0.308     Hornady SP                      110        0.256
 0.308     Sierra FMJ                      110        0.154
 0.308     Sierra Hollow Point             110        0.177
 0.308     Sierra Round Nose               110        0.154
 0.308     Speer Hollow Point              110        0.136
 0.308     Speer RN FMJ                    110        0.179
